Date,Concentration,Stage of Development,Form of Ice,Mean Temperature,Normal Temperature,Ice Profiler
03/09/2018,0,no ice info,no ice info,4.9,3.3,-0.036379041
10/09/2018,0,no ice info,no ice info,1,1.8,-0.03834534
17/09/2018,0,no ice info,no ice info,-2.5,0.1,-0.040294371
24/09/2018,0,no ice info,no ice info,-4.4,-2,-0.029977368
01/10/2018,0.1,no ice info,no ice info,-4.9,-4.4,-0.029508422
08/10/2018,0.7,New Ice,no ice info,-7.7,-7.1,-0.028988192
15/10/2018,0.3,New Ice,Fast ice,-9.8,-10,0.052865703
22/10/2018,0.9,Grey Ice,Fast ice,-14,-12.7,0.238501311
05/11/2018,0.9,Grey Ice,Fast ice,-10.5,-17.2,0.400979372
12/11/2018,1,Thin first-year ice ,Fast ice,-22.6,-20.9,0.413585911
19/11/2018,1,Thin first-year ice ,Fast ice,-29.1,-23.2,0.464846296
26/11/2018,1,Thin first-year ice ,Fast ice,-30.5,-25.2,0.53147126
03/12/2018,1,Thin first-year ice ,Fast ice,-19.4,-26.9,0.595202211
10/12/2018,1,Thin first-year ice ,Fast ice,-22.6,-28.2,0.650903035
17/12/2018,1,Thin first-year ice ,Fast ice,-23.6,-29.4,0.719308472
24/12/2018,1,Medium first-year ice ,Fast ice,-25.5,-30.1,0.776341951
31/12/2018,1,Medium first-year ice ,Fast ice,-31.5,-30.7,0.855379024
07/01/2019,1,Medium first-year ice ,Fast ice,-25.9,-25.4,0.934416098
14/01/2019,1,Medium first-year ice ,Fast ice,-35.4,-32.1,1.005037892
21/01/2019,1,Medium first-year ice ,Fast ice,-27.6,-33,1.07199354
28/01/2019,1,Medium first-year ice ,Fast ice,-37.9,-33.2,1.146849214
04/02/2019,1,Medium first-year ice ,Fast ice,-37,-33.3,1.220981771
11/02/2019,1,Thick first-year ice ,Fast ice,-29.6,-33.4,1.279582102
18/02/2019,1,Thick first-year ice ,Fast ice,-31.7,-33,1.342639743
25/02/2019,1,Thick first-year ice ,Fast ice,-32.6,-32.7,1.392615623
04/03/2019,1,Thick first-year ice ,Fast ice,-25.7,-32.3,1.435774307
11/03/2019,1,Thick first-year ice ,Fast ice,-22.9,-31.1,1.480141785
18/03/2019,1,Thick first-year ice ,Fast ice,-22.9,-31.1,1.522649142
25/03/2019,1,Thick first-year ice ,Fast ice,-23,-29,1.564854242
01/04/2019,1,Thick first-year ice ,Fast ice,-18.6,-27.3,1.59716853
08/04/2019,1,Thick first-year ice ,Fast ice,-25.8,-25.3,1.636598381
15/04/2019,1,Thick first-year ice ,Fast ice,-21.1,-22.9,1.681080311
22/04/2019,1,Thick first-year ice ,Fast ice,-24.1,-19.7,1.70660748
29/04/2019,1,Thick first-year ice ,Fast ice,-23.6,-16.6,1.734919101
06/05/2019,1,Thick first-year ice ,Fast ice,-15.4,-13.4,1.755434171
13/05/2019,1,Thick first-year ice ,Fast ice,-8.8,-11.3,1.780385069
20/05/2019,1,Thick first-year ice ,Fast ice,-6.4,-8.8,1.802756737
27/05/2019,1,Thick first-year ice ,Fast ice,-7.9,-1.7,1.810852462
03/06/2019,1,Thick first-year ice ,Fast ice,-1.1,-3.5,1.800981004
10/06/2019,1,Thick first-year ice ,Fast ice,-0.6,-0.7,1.720175976
17/06/2019,1,Thick first-year ice ,Fast ice,2.2,1.9,1.39958077
24/06/2019,1,Thick first-year ice ,Fast ice,4.6,4.3,1.078985564
01/07/2019,1,Thick first-year ice ,Fast ice,8.5,6.1,0.568293484
08/07/2019,1,Thick first-year ice ,Fast ice,9.4,7.4,-0.009607133
15/07/2019,0.9,Thick first-year ice ,Fast ice,7.6,8.2,0.015685252
22/07/2019,0,no ice info,no ice info,9.4,8.5,0.047284481
29/07/2019,0.2,Thick first-year ice ,Medium floe,6.5,8.6,0.067177083
05/08/2019,0,no ice info,no ice info,9.4,8.2,0.067177083
